model,ensemble_mode,level_cm,episodes,injected_episodes,injection_rate,successes,task_success_rate,ci95_lower,ci95_upper,clean_success_rate,target_contact_rate,wrong_object_contact_rate,mean_steps,mean_action_clip_rate,mean_safety_intervention_rate,mean_grounding_shift_resets,mean_grounding_error_after_injection_cm,reacquisition_rate_0_5cm,mean_successful_reacquisition_latency_s_0_5cm
v2,latest-only,7,120,119,0.9916666666666667,25,0.20833333333333334,0.14528439608109694,0.2894767843298135,0.20833333333333334,0.7666666666666667,0.09166666666666666,190.86666666666667,0.030531856084962127,0.06873902645538513,15.5,1.6178174822940614,0.6218487394957983,1.4141891891891891
v2,latest-only,8,120,119,0.9916666666666667,24,0.2,0.13824476478840256,0.2803667350628196,0.18333333333333332,0.7166666666666667,0.075,190.34166666666667,0.029631813944033088,0.06740054012183432,15.716666666666667,1.921871651850218,0.5546218487394958,1.690909090909091
v3,temporal,0,120,0,0.0,117,0.975,0.9290699666721339,0.9914618252300978,0.975,0.9916666666666667,0,86.46666666666667,0.0696725838040708,0.04805910198793188,4.033333333333333,,,
v3,temporal,1,120,120,1.0,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.9833333333333333,0.9916666666666667,0,88.86666666666666,0.06631078068649077,0.04739370422653361,4.725,0.6462714657117344,0.9833333333333333,0.6114406779661017
v3,temporal,2,120,120,1.0,117,0.975,0.9290699666721339,0.9914618252300978,0.975,1,0,92.25833333333334,0.064067563679712,0.0478167833264042,5.458333333333333,0.6886724074691963,0.9583333333333334,0.6921739130434783
v3,temporal,3,120,120,1.0,113,0.9416666666666667,0.8844740796636988,0.9714589899997798,0.9416666666666667,0.9916666666666667,0,99.65,0.06125853665866131,0.04751267586259063,5.383333333333334,0.7291346332121859,0.9333333333333333,0.7723214285714286
v3,temporal,4,120,120,1.0,109,0.9083333333333333,0.843291530273291,0.9480428171514347,0.9,0.9916666666666667,0.016666666666666666,112.19166666666666,0.05523629010169828,0.04697783565943426,6.275,0.7402344492846331,0.9083333333333333,0.6889908256880733
v3,temporal,5,120,120,1.0,105,0.875,0.8039705979199262,0.9227650272660463,0.875,0.975,0.008333333333333333,123.28333333333333,0.048424304284370334,0.04112658618288878,6.808333333333334,0.8283137690719439,0.8666666666666667,0.9802884615384615
v3,temporal,6,120,120,1.0,100,0.8333333333333334,0.7565471860673773,0.8894400363201539,0.8333333333333334,0.975,0.008333333333333333,132.34166666666667,0.04597638854654137,0.04506769255408868,7.283333333333333,0.9890934611999062,0.8166666666666667,0.9132653061224489
v3,temporal,7,120,120,1.0,96,0.8,0.7196332649371805,0.8617552352115975,0.775,0.9583333333333334,0,144.66666666666666,0.042198078226067054,0.0440122181439026,8.258333333333333,1.1453381978769668,0.825,1.004040404040404
v3,temporal,8,120,120,1.0,90,0.75,0.665588633358744,0.8189017834319043,0.7416666666666667,0.9583333333333334,0,155.65833333333333,0.03689599826967288,0.04374275943278418,9.883333333333333,1.3477390106395941,0.7666666666666667,1.3548913043478261
v3,latest-only,0,120,0,0.0,117,0.975,0.9290699666721339,0.9914618252300978,0.975,1,0,86.55833333333334,0.06867030802939182,0.047403042142485224,3.9,,,
v3,latest-only,1,120,120,1.0,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.9833333333333333,0.9833333333333333,0,87.74166666666666,0.06720575028579236,0.046372965343521394,4.633333333333334,0.6524652446926372,0.9666666666666667,0.5616379310344828
v3,latest-only,2,120,120,1.0,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,0.9583333333333334,0.9916666666666667,0,92.85833333333333,0.0636494174591147,0.04687824339422781,5.3,0.690894801393397,0.9666666666666667,0.6456896551724138
v3,latest-only,3,120,120,1.0,111,0.925,0.8635908239400624,0.9600428846040397,0.9166666666666666,0.9916666666666667,0,100.225,0.060344779418980546,0.04816626585237563,6.466666666666667,0.7356549094687737,0.9166666666666666,0.7245454545454545
v3,latest-only,4,120,120,1.0,108,0.9,0.833318258891048,0.9418664079739892,0.8916666666666667,0.9916666666666667,0.008333333333333333,110.225,0.05585544212482056,0.046037864024963966,5.991666666666666,0.7243714376965934,0.8916666666666667,0.6939252336448598
v3,latest-only,5,120,120,1.0,105,0.875,0.8039705979199262,0.9227650272660463,0.875,0.9916666666666667,0.008333333333333333,123.125,0.0486576218152547,0.04190241313000758,7.183333333333334,0.8247047699904967,0.8416666666666667,0.7975247524752476
v3,latest-only,6,120,120,1.0,103,0.8583333333333333,0.7848050551014282,0.9096312089651676,0.8583333333333333,0.9583333333333334,0,132.75833333333333,0.0454624220122178,0.04516625286866215,6.983333333333333,0.9708996257776378,0.8166666666666667,0.8275510204081632
v3,latest-only,7,120,120,1.0,97,0.8083333333333333,0.7287884399579756,0.8687497407504907,0.8,0.9666666666666667,0.008333333333333333,147.36666666666667,0.04027206771696864,0.045305690352145475,8.725,1.1385108002674162,0.8083333333333333,1.0809278350515465
v3,latest-only,8,120,120,1.0,86,0.7166666666666667,0.6302979754694596,0.7895937190824355,0.7,0.95,0,158.0,0.036359428968558684,0.04328409320043626,9.608333333333333,1.354975720666501,0.7666666666666667,1.5467391304347826
