benchmark_seed,perturbation_seed,level_cm,ensemble_mode,episode,scene_seed,task,instruction,v2_injected,v3_injected,v2_success,v3_success,v2_failure,v3_failure
20260811,20260812,0,temporal,26,287609370,pick_C,Pick up the green cylinder,0,0,0,1,grasp_failed_after_contact,success
20260811,20260812,0,temporal,27,1859882343,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,28,943077148,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,29,1559064316,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,30,1984652207,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,31,230134447,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,32,783789416,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,33,2001084263,push_C,Push the green cylinder away from the robot,0,0,0,1,insufficient_push_distance,success
20260811,20260812,0,temporal,34,1180781097,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,35,163966935,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,36,1837138281,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,37,780026865,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,38,1607092712,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,39,1451266199,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,40,358756413,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,41,1421965644,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,42,59016797,push_B,Push the blue ball away from the robot,0,0,0,0,insufficient_push_distance,recovery_limit
20260811,20260812,0,temporal,43,1302654236,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,44,384580899,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,45,1011128636,push_C,Push the green cylinder away from the robot,0,0,0,1,insufficient_push_distance,success
20260811,20260812,0,temporal,46,296641795,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,47,123843409,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,48,134514525,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,49,277643107,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,50,1980477288,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,51,1664468370,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,52,1089264912,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,53,1025412360,pick_C,Pick up the green cylinder,0,0,0,1,target_toppled_before_grasp,success
20260811,20260812,0,temporal,54,730531494,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,55,1446152857,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,56,1446783571,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,57,467683298,pick_A,Pick up the red cube,0,0,0,1,grasp_failed_after_contact,success
20260811,20260812,0,temporal,58,1944327625,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,59,803382679,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,60,1586958513,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260801,20260802,1,temporal,1,1485225831,push_B,Push the blue ball away from the robot,1,1,0,1,insufficient_push_distance,success
20260801,20260802,1,temporal,2,423671072,push_C,Push the green cylinder away from the robot,1,1,1,1,success,success
20260801,20260802,1,temporal,3,375455843,push_C,Push the green cylinder away from the robot,1,1,1,1,success,success
20260801,20260802,1,temporal,4,553518490,push_C,Push the green cylinder away from the robot,1,1,1,1,success,success
20260801,20260802,1,temporal,5,1506469058,pick_B,Pick up the blue ball,1,1,1,1,success,success
20260801,20260802,1,temporal,6,2061678707,push_C,Push the green cylinder away from the robot,1,1,1,1,task_success_only,success
20260801,20260802,1,temporal,7,1419313632,pick_B,Pick up the blue ball,1,1,1,1,success,success
20260801,20260802,1,temporal,8,1070560489,push_B,Push the blue ball away from the robot,1,1,1,1,success,success
20260801,20260802,1,temporal,9,1348464606,push_B,Push the blue ball away from the robot,1,1,0,0,insufficient_push_distance,insufficient_push_distance
20260801,20260802,1,temporal,10,1982507234,push_B,Push the blue ball away from the robot,1,1,1,1,success,success
20260801,20260802,1,temporal,11,1679153557,pick_A,Pick up the red cube,1,1,1,1,success,success
20260801,20260802,1,temporal,12,1255196262,push_A,Push the red cube away from the robot,1,1,1,1,success,success
20260801,20260802,1,temporal,13,1431197586,pick_B,Pick up the blue ball,1,1,1,1,success,success
