model,ensemble_mode,level_cm,failure_category,count,rate_over_all_episodes
v3,temporal,6,recovery_limit,6,0.05
v3,temporal,6,target_not_contacted,3,0.025
v3,temporal,6,wrong_object_contact,1,0.008333333333333333
v3,temporal,7,gripper_never_closed,4,0.03333333333333333
v3,temporal,7,insufficient_lift,2,0.016666666666666666
v3,temporal,7,insufficient_push_distance,9,0.075
v3,temporal,7,recovery_limit,6,0.05
v3,temporal,7,target_not_contacted,3,0.025
v3,temporal,8,gripper_never_closed,5,0.041666666666666664
v3,temporal,8,insufficient_lift,2,0.016666666666666666
v3,temporal,8,insufficient_push_distance,14,0.11666666666666667
v3,temporal,8,recovery_limit,6,0.05
v3,temporal,8,target_not_contacted,3,0.025
v3,latest-only,0,insufficient_push_distance,1,0.008333333333333333
v3,latest-only,0,recovery_limit,2,0.016666666666666666
v3,latest-only,1,insufficient_push_distance,1,0.008333333333333333
v3,latest-only,1,recovery_limit,1,0.008333333333333333
v3,latest-only,2,insufficient_push_distance,4,0.03333333333333333
v3,latest-only,2,recovery_limit,1,0.008333333333333333
v3,latest-only,3,gripper_never_closed,1,0.008333333333333333
v3,latest-only,3,insufficient_push_distance,7,0.058333333333333334
v3,latest-only,3,recovery_limit,1,0.008333333333333333
v3,latest-only,4,grasp_failed_after_contact,1,0.008333333333333333
v3,latest-only,4,insufficient_lift,1,0.008333333333333333
v3,latest-only,4,insufficient_push_distance,7,0.058333333333333334
v3,latest-only,4,recovery_limit,1,0.008333333333333333
v3,latest-only,4,target_not_contacted,1,0.008333333333333333
v3,latest-only,4,wrong_object_contact,1,0.008333333333333333
v3,latest-only,5,gripper_never_closed,1,0.008333333333333333
v3,latest-only,5,insufficient_lift,1,0.008333333333333333
v3,latest-only,5,insufficient_push_distance,6,0.05
v3,latest-only,5,recovery_limit,5,0.041666666666666664
v3,latest-only,5,target_not_contacted,1,0.008333333333333333
v3,latest-only,5,wrong_object_contact,1,0.008333333333333333
v3,latest-only,6,grasp_failed_after_contact,1,0.008333333333333333
v3,latest-only,6,gripper_never_closed,1,0.008333333333333333
v3,latest-only,6,insufficient_lift,1,0.008333333333333333
v3,latest-only,6,insufficient_push_distance,9,0.075
v3,latest-only,6,recovery_limit,1,0.008333333333333333
v3,latest-only,6,target_not_contacted,4,0.03333333333333333
v3,latest-only,7,gripper_never_closed,3,0.025
v3,latest-only,7,insufficient_lift,2,0.016666666666666666
v3,latest-only,7,insufficient_push_distance,7,0.058333333333333334
v3,latest-only,7,recovery_limit,6,0.05
v3,latest-only,7,target_not_contacted,4,0.03333333333333333
v3,latest-only,7,wrong_object_contact,1,0.008333333333333333
v3,latest-only,8,grasp_failed_after_contact,1,0.008333333333333333
v3,latest-only,8,gripper_never_closed,5,0.041666666666666664
v3,latest-only,8,insufficient_lift,2,0.016666666666666666
v3,latest-only,8,insufficient_push_distance,15,0.125
v3,latest-only,8,recovery_limit,6,0.05
v3,latest-only,8,target_not_contacted,5,0.041666666666666664
