corruption,severity_index,level,failure_category,count,rate_over_all_episodes
gaussian-blur,6,6.0,grasp_failed_after_contact,5,0.041666666666666664
gaussian-blur,6,6.0,gripper_never_closed,7,0.058333333333333334
gaussian-blur,6,6.0,insufficient_push_distance,7,0.058333333333333334
gaussian-blur,6,6.0,missed_grasp,10,0.08333333333333333
gaussian-blur,6,6.0,recovery_limit,33,0.275
gaussian-blur,6,6.0,target_not_contacted,5,0.041666666666666664
gaussian-blur,7,10.0,grasp_failed_after_contact,2,0.016666666666666666
gaussian-blur,7,10.0,gripper_never_closed,8,0.06666666666666667
gaussian-blur,7,10.0,insufficient_push_distance,7,0.058333333333333334
gaussian-blur,7,10.0,missed_grasp,5,0.041666666666666664
gaussian-blur,7,10.0,object_dropped,1,0.008333333333333333
gaussian-blur,7,10.0,object_left_table,1,0.008333333333333333
gaussian-blur,7,10.0,recovery_limit,37,0.30833333333333335
gaussian-blur,7,10.0,target_not_contacted,22,0.18333333333333332
gaussian-blur,7,10.0,target_not_reached,5,0.041666666666666664
gaussian-blur,7,10.0,wrong_object_contact,9,0.075
brightness,0,1.0,gripper_never_closed,1,0.008333333333333333
brightness,0,1.0,insufficient_push_distance,1,0.008333333333333333
brightness,0,1.0,lateral_push_error,2,0.016666666666666666
brightness,1,0.8,lateral_push_error,1,0.008333333333333333
brightness,1,0.8,recovery_limit,1,0.008333333333333333
brightness,2,0.6,lateral_push_error,1,0.008333333333333333
brightness,3,0.4,insufficient_push_distance,1,0.008333333333333333
brightness,3,0.4,lateral_push_error,1,0.008333333333333333
brightness,3,0.4,recovery_limit,1,0.008333333333333333
brightness,3,0.4,wrong_object_contact,1,0.008333333333333333
brightness,4,0.3,insufficient_push_distance,1,0.008333333333333333
brightness,4,0.3,lateral_push_error,1,0.008333333333333333
brightness,4,0.3,recovery_limit,1,0.008333333333333333
brightness,5,0.2,lateral_push_error,1,0.008333333333333333
brightness,5,0.2,recovery_limit,2,0.016666666666666666
brightness,6,0.1,gripper_never_closed,1,0.008333333333333333
brightness,6,0.1,insufficient_push_distance,3,0.025
brightness,6,0.1,lateral_push_error,1,0.008333333333333333
brightness,6,0.1,recovery_limit,2,0.016666666666666666
brightness,7,0.05,gripper_never_closed,1,0.008333333333333333
brightness,7,0.05,insufficient_lift,2,0.016666666666666666
brightness,7,0.05,insufficient_push_distance,10,0.08333333333333333
brightness,7,0.05,lateral_push_error,1,0.008333333333333333
brightness,7,0.05,missed_grasp,1,0.008333333333333333
brightness,7,0.05,recovery_limit,11,0.09166666666666666
brightness,7,0.05,target_not_contacted,1,0.008333333333333333
brightness,7,0.05,wrong_object_contact,1,0.008333333333333333
brightness,8,0.02,grasp_failed_after_contact,1,0.008333333333333333
brightness,8,0.02,gripper_never_closed,5,0.041666666666666664
brightness,8,0.02,insufficient_push_distance,10,0.08333333333333333
brightness,8,0.02,missed_grasp,1,0.008333333333333333
brightness,8,0.02,recovery_limit,20,0.16666666666666666
brightness,8,0.02,target_not_contacted,4,0.03333333333333333
brightness,8,0.02,target_not_reached,17,0.14166666666666666
brightness,8,0.02,wrong_object_contact,37,0.30833333333333335
brightness,9,0.01,gripper_never_closed,3,0.025
brightness,9,0.01,insufficient_push_distance,11,0.09166666666666666
brightness,9,0.01,recovery_limit,9,0.075
brightness,9,0.01,target_not_contacted,15,0.125
brightness,9,0.01,target_not_reached,40,0.3333333333333333
brightness,9,0.01,wrong_object_contact,40,0.3333333333333333
